"gene","gene_name","logFC","logCPM","F","PValue","FDR","description"
"103816427","EDA",-3.573557268984201,0.193240771616279,50.70725845572081,1.567189724463465e-10,1.0303734424560425e-6,"ectodysplasin A"
"103820599","EZR",-0.996238039008965,3.6811357456956606,50.160026766513674,1.8881683021001327e-10,1.0303734424560425e-6,"ezrin"
"115485415","FANCM",-1.213615808725306,3.4598551177207897,45.08211749887584,1.1014154195654495e-9,4.0069492963791055e-6,"FA complementation group M"
"103825108","OCIAD2",-3.4782170399933086,0.9146466656457574,43.417364277961305,1.991544174227207e-9,5.433928279378934e-6,"OCIA domain containing 2"
"103821834","TEK",-2.859718455912608,0.1137977417763766,41.404859707409464,4.1153616221171505e-9,8.983011348757317e-6,"TEK receptor tyrosine kinase"
"103815375","SLC51A",-2.447484720756144,2.352989101907476,40.22352480662742,6.333795268144839e-9,1.1521173592755461e-5,"solute carrier family 51 subunit alpha"
"103813561","BEND7",-1.4370227947384233,4.166312403260797,39.30592042505961,8.877238261769853e-9,1.384088262699374e-5,"BEN domain containing 7"
"103815985","CGNL1",-2.969357197726813,0.02758454429662654,38.40501463703085,1.2394527355939159e-8,1.690923394534e-5,"cingulin like 1"
"103826814","SIRT3",-0.5079613068936876,3.575303114966199,35.19884479850364,4.144088293342364e-8,5.02539773705984e-5,"sirtuin 3"
"103819059","ARRDC1",-1.6155151931935263,2.156816915981361,33.912503298986486,6.784648997410934e-8,7.404765915774295e-5,"arrestin domain containing 1"
"103820596","GTF2H5",0.49702229489627375,6.687253435467804,32.60229469166116,1.1269689666950915e-7,1.0224549266825491e-4,"general transcription factor IIH subunit 5"
"103821965","UHRF1",-0.8421818309419651,2.020084993773053,32.53769342737015,1.1556857265205855e-7,1.0224549266825491e-4,"ubiquitin like with PHD and ring finger domains 1"
"103825412","PCM1",-1.0442761708594974,4.3787753779786405,32.40323238648908,1.2178774094624463e-7,1.0224549266825491e-4,"pericentriolar material 1"
"103822773","MED10",0.32852254730428737,5.233455454501831,32.207868804727994,1.31438684172895e-7,1.0246584279021257e-4,"mediator complex subunit 10"
"127060513","LOC127060513",-1.6297805127733347,6.416452532236265,31.426437791555703,1.785407369504705e-7,1.2990624020516235e-4,"ferritin heavy chain A-like"
"103824821","INSRR",-0.9285265168405368,0.9287681090281168,31.215184701419528,1.9401978415753404e-7,1.3234574526845792e-4,"insulin receptor related receptor"
"103817058","NDUFAF3",-0.8348135669252658,4.370527114639535,30.66334884227238,2.412529977657541e-7,1.5488442456561413e-4,"NADH:ubiquinone oxidoreductase complex assembly factor 3"
"103822820","DPAGT1",-0.3678107860115393,5.031914737310873,30.28035804788502,2.8080619366254863e-7,1.7026215542405868e-4,"dolichyl-phosphate N-acetylglucosaminephosphotransferase 1"
"103827132","WDR3",-1.1640413901319433,3.469847880959447,29.904769602109056,3.2604332768581735e-7,1.784306458892794e-4,"WD repeat domain 3"
"103826382","LOC103826382",0.3764755374738745,5.319776283655305,29.847450321845216,3.3357489599886594e-7,1.784306458892794e-4,"SERTA domain-containing protein 2-like"
"103823465","FRAS1",-1.2455046471510502,2.6610422858710705,29.77518316712987,3.43324497313072e-7,1.784306458892794e-4,"Fraser extracellular matrix complex subunit 1"
"103818357","ACP6",-2.1395388238531354,0.32854935575979904,29.594821552634105,3.689471726533814e-7,1.8303133828813657e-4,"acid phosphatase 6, lysophosphatidic"
"103817144","PBRM1",-0.695905415924099,6.572228378471239,29.096051511075558,4.50465486306765e-7,2.0903455611758528e-4,"polybromo 1"
"103813330","APOLD1",-1.9586525013288094,-0.9752583828298276,29.04563755571206,4.5966917233113864e-7,2.0903455611758528e-4,"apolipoprotein L domain containing 1"
"103819798","SCPEP1",1.4979864015551205,4.134933329861331,28.917740452345342,4.838900545012305e-7,2.112470421930572e-4,"serine carboxypeptidase 1"
"103826311","GNG2",1.6287110221526409,4.714156495856399,28.74761217128901,5.181436748240968e-7,2.1750077180885354e-4,"G protein subunit gamma 2"
"103812708","EXOG",-1.0478284559603515,3.898282017367122,28.642922065079784,5.404436077660169e-7,2.184593161169744e-4,"exo/endonuclease G"
"103813189","ALDH1L2",3.7240542388033937,-1.4640492364659865,28.46734847833232,5.800677540309493e-7,2.2541995719944322e-4,"aldehyde dehydrogenase 1 family member L2"
"103823467","ANKRD17",-0.4315565648652309,9.29681742401029,28.387857857216687,5.989718488898527e-7,2.2541995719944322e-4,"ankyrin repeat domain 17"
"103816082","KLHL25",-0.5425063845798479,6.725770967793482,28.17293268385842,6.532995120371557e-7,2.3767036247911727e-4,"kelch like family member 25"
"127060349","LOC127060349",0.7924913898094273,5.378784272426011,28.025434666230595,6.934739254439678e-7,2.4364604423708264e-4,"uncharacterized LOC127060349"
"103823029","FDXACB1",-2.751776731847327,-0.5510979912021106,27.95211898151663,7.143735949777024e-7,2.4364604423708264e-4,"ferredoxin-fold anticodon binding domain containing 1"
"103812496","CLNS1A",0.41891503929528107,3.582989563046774,27.70778768043416,7.887877714214784e-7,2.591662807110876e-4,"chloride nucleotide-sensitive channel 1A"
"103824448","CRIP2",-2.382807914431142,-0.5054844554021765,27.65044545877937,8.073715910002729e-7,2.591662807110876e-4,"cysteine rich protein 2"
"127060463","DDN",-0.8754196860320084,2.8309400376567204,27.305009963317445,9.291924974367558e-7,2.891305271934643e-4,"dendrin"
"103818230","FBXW8",-0.5144052291704992,3.8677225292488444,27.241130777638567,9.537015740301187e-7,2.891305271934643e-4,"F-box and WD repeat domain containing 8"
"103817045","SETD5",-0.4089462018466369,5.849507765900487,27.08382506355344,1.0169122658478426e-6,2.999616343098204e-4,"SET domain containing 5"
"103820146","NCOR1",-0.640818835460857,7.921163136393751,26.873685733074964,1.1080935495936424e-6,3.182561315859214e-4,"nuclear receptor corepressor 1"
"103815619","RUBCN",-0.4184886004920262,6.738874679958741,26.708016618726145,1.185841860927537e-6,3.318532838503369e-4,"rubicon autophagy regulator"
"103816518","RNF128",-2.1608023029460357,-0.06237295626748609,26.57189682483514,1.253883006950977e-6,3.421219784465741e-4,"ring finger protein 128"
"103826833",NA,1.3267896260157082,7.968801057395157,26.300358274130527,1.4017849603172356e-6,3.6500723711812275e-4,NA
"103818618","SDC4",-1.174053043708318,4.020001024916461,26.29539948256628,1.4046457723072344e-6,3.6500723711812275e-4,"syndecan 4"
"103824367","MAPK8IP3",-0.6037448446614443,6.453714436406082,26.034186993478418,1.564097904972176e-6,3.9472561025943127e-4,"mitogen-activated protein kinase 8 interacting protein 3"
"127061169","LOC127061169",-1.660535272354441,1.7828477570278274,25.992290765628542,1.5913438566442164e-6,3.9472561025943127e-4,"uncharacterized LOC127061169"
