"cluster","gene_label","description","gene","logFC_infection","logFC_diet","logFC_interaction","FDR_infection","FDR_diet","FDR_interaction","logFC_inf_lipid","logFC_inf_protein","FDR_inf_lipid","FDR_inf_protein"
1,"EHD3","EH domain containing 3","103821302",0.005760887032678822,-0.2050289207905746,0.20278401576568977,0.9421309142346651,0.0176549267250729,0.13937940101165425,-0.09563112085016606,0.10715289491552371,0.25774473572215867,0.3401012244236241
1,"ALDH3B1","aldehyde dehydrogenase 3 family member B1","103822172",0.041750750181477336,-0.4291130117935483,0.15716410362745617,0.8126243114650081,0.045585107486263106,0.7496480904975575,-0.03683130163225203,0.12033280199520414,0.8906003472847968,0.7096633828156327
1,"SCRIB","scribble planar cell polarity protein","103814877",0.01311997742407315,-0.14616287633673872,0.402743093288907,0.9079407277939618,0.3194710095929868,0.03865785038989105,-0.18825156922038036,0.21449152406852665,0.12967461494494445,0.18749667465683417
1,"KLF8","KLF transcription factor 8","115484205",0.002787051593847036,-0.5781565298064595,0.44738392512213077,0.9911080208380094,0.023753574884669386,0.30585596348387695,-0.22090491096721834,0.2264790141549124,0.39248798301449594,0.5197751242868611
1,"GOLGB1","golgin B1","103822461",0.03818536906610468,-0.6955563282639103,0.4087774502546838,0.8085463896690297,8.795120855770069e-5,0.18034665385947005,-0.1662033560612385,0.2425740941934453,0.38941521840325566,0.32529040540761367
1,"SHE","Src homology 2 domain containing E","103824052",0.02240348206411229,-0.5232332482618417,0.5077894256653914,0.9239718699800525,0.04949482787300059,0.2455499615621852,-0.2314912307685834,0.276298194896808,0.38395518298323345,0.43241354454332614
1,"CAPN11","calpain 11","103817882",0.11060219808502708,-0.3579902456372149,0.5566729840300829,0.35422056348320513,0.03633232375659364,0.027693972712404494,-0.1677342939300131,0.3889386901000699,0.32099697461130566,0.05967608182777617
1,"SNRNP48","small nuclear ribonucleoprotein U11/U12 subunit 48","103821591",0.09210249854156224,-0.5463519269105965,0.5397730993440182,0.6413155087166337,0.03739683592540047,0.2015225227518907,-0.17778405113044554,0.3619890482135726,0.5185536050489913,0.277398726280955
1,"POLR1A","RNA polymerase I subunit A","103826112",0.08232650509812556,-0.3987340287564809,0.5047919070331339,0.39970240751503744,0.0027568075756616304,0.013598491519840395,-0.1700694484184414,0.3347224586146925,0.20158259314559615,0.03906088911390891
1,"KLF10","KLF transcription factor 10","103813948",0.08800975431063879,-0.8460403681526819,0.34266179019078313,0.7329836879991577,0.009275435304916684,0.6202542857133825,-0.08332114078475406,0.2593406494060291,0.8328266481195632,0.5823403901344016
